REVIEW,LABEL,MODEL,NUM_SHOTS
"Review: 
I recently tried Hibachi 2 Go for dinner and I have to say, it was an incredible experience! From the moment I walked in, I was greeted with a warm smile and friendly staff that made me feel right at home. The restaurant itself was clean and well-maintained, with a modern and cozy ambiance.

Now, let's talk about the food. The menu at Hibachi 2 Go is extensive, offering a wide variety of options for every palate. I decided to try their hibachi grilled chicken and it did not disappoint. The chicken was juicy and tender, perfectly seasoned with just the right amount of flavor. The accompanying fried rice was a delicious compliment, cooked to perfection with a nice balance of flavors.

The portion sizes were generous, ensuring that no one would leave the restaurant hungry. The food was also served promptly, which is always a plus when you're ravenous and eager to dig in.

What sets Hibachi 2 Go apart from other hibachi restaurants is their incredible customer service. The staff went above and beyond to ensure that I had a memorable dining experience. They were attentive, friendly, and took the time to answer any questions I had about the menu.

Overall, I would highly recommend Hibachi 2 Go to anyone looking for a delicious and satisfying meal. With its top-notch food, cozy atmosphere, and exceptional service, it's no wonder why I'm giving this restaurant a well-deserved 5 stars out of 5. I will definitely be returning for more flavorful hibachi dishes in the future.",FAKE,gpt-3.5-turbo-16k-0613,few
"I recently ordered takeout from Hibachi 2 Go and had a fantastic experience. The food was absolutely delicious, and the service was top-notch. I ordered a variety of dishes, including hibachi chicken, shrimp tempura rolls, and miso soup.

The hibachi chicken was cooked to perfection, juicy and tender with a delicious charred flavor. The portion size was generous, and it came with a side of flavorful fried rice and mixed vegetables. The shrimp tempura rolls were a highlight as well, with perfectly crispy tempura batter and fresh shrimp wrapped in soft sushi rice. They were flavorful and satisfying.

The miso soup was also very good, with a rich and savory broth that was just the right amount of salty. It was a great way to start the meal and warm up on a chilly evening.

The ordering process was simple and convenient. The staff was friendly and helpful when I called to place my order, and they gave me an accurate estimate of when my food would be ready for pickup. When I arrived at the restaurant, my order was ready and waiting for me, packaged neatly and securely.

Overall, I am extremely pleased with my experience at Hibachi 2 Go. The quality of the food, the prompt and friendly service, and the overall value for money make it a top choice for takeout in the area. I highly recommend giving them a try if you are in the mood for delicious and satisfying hibachi dishes. I will definitely be ordering from them again in the future.",FAKE,gpt-3.5-turbo-16k-0613,few
"I recently ordered from Hibachi 2 Go and had a fantastic experience. The food was amazing, the service was great, and I would definitely recommend it to anyone looking for a delicious and convenient meal.

I decided to try their hibachi chicken and it did not disappoint. The chicken was perfectly cooked and seasoned, and the portion was generous. The flavor was outstanding and I loved that it came with a side of fried rice and vegetables. Everything was cooked to perfection and the combination of flavors was simply mouthwatering.

The ordering process was easy and the food arrived earlier than expected, which was a pleasant surprise. It was still piping hot when it arrived, which showed me that they take great care in ensuring their food is delivered at its best.

The packaging was also very well done. The containers were sturdy and the sauces were packed separately, so nothing leaked or got mixed up during transportation. This attention to detail was definitely appreciated.

The delivery person was friendly and professional. They handed over my order with a smile and even double-checked to make sure everything was correct. It's reassuring to know that the staff take pride in their work and strive to provide excellent service.

I have to mention that the prices at Hibachi 2 Go are very reasonable for the quality and quantity of food you receive. I felt like I was getting a great deal for the amount of food I received.

Overall, my experience with Hibachi 2 Go was outstanding. The food was delicious, the service was top-notch, and I can confidently say that I will be ordering from them again in the future. If you're in the mood for hibachi or are looking for a tasty and convenient meal, I highly recommend giving Hibachi 2 Go a try. You won't be disappointed!",FAKE,gpt-3.5-turbo-16k-0613,few
"I recently ordered from Hibachi 2 Go and I have to say, it was a fantastic experience! I give it 5 stars out of 5. 

First of all, the menu had a great variety of options to choose from. There were so many delicious-sounding dishes that it was hard to decide what to order. I ended up going for the hibachi chicken with fried rice and it did not disappoint. The chicken was cooked perfectly, juicy and flavorful, and the fried rice was packed with tasty vegetables. It was definitely a generous portion size, leaving me feeling satisfied and happy.

Not only was the food delicious, but the presentation was also impressive. The hibachi chicken was served on a sizzling hot plate, which added to the overall experience. It felt like I was enjoying a meal straight from a hibachi grill, but in the comfort of my own home.

Another thing that impressed me was the speed of the delivery. The food arrived earlier than the estimated time, which is always a pleasant surprise when you're hungry and eagerly waiting for your meal. The delivery person was friendly and professional, ensuring that everything arrived in perfect condition.

Overall, I had a wonderful experience with Hibachi 2 Go. The food was delicious, the presentation was impressive, and the delivery was quick. I will definitely be ordering from here again in the future whenever I'm in the mood for some hibachi goodness. Highly recommended!",FAKE,gpt-3.5-turbo-16k-0613,few
"Review: Just had an amazing experience at Hibachi 2 Go! The food was absolutely delicious, and the service was top-notch. I ordered the hibachi chicken with veggies and fried rice, and I was blown away by the flavors and freshness of the ingredients. The chicken was perfectly grilled, juicy, and tender, and the veggies were cooked to perfection. The fried rice had the right amount of seasoning and was very flavorful. The portion sizes were generous, and I had plenty of leftovers to take home. The staff was friendly and attentive, making sure I had everything I needed throughout the meal. The restaurant was clean and had a cozy atmosphere, perfect for a quick and satisfying meal. Overall, I highly recommend Hibachi 2 Go for anyone looking for delicious hibachi dishes on the go. I will definitely be back for more!",FAKE,gpt-3.5-turbo-16k-0613,few
"Hibachi 2 Go is simply amazing! I ordered dinner from this restaurant and I must say, I was blown away. The menu had a wide variety of options to choose from, and everything I ordered was exceptional.

First, I tried their hibachi chicken and it was cooked to perfection. The flavors were incredible, and the portion size was generous. The chicken was tender and juicy, and the vegetables were cooked just right. The fried rice was delicious and had a wonderful blend of flavors.

Next, I decided to try their sushi rolls. I ordered a variety of rolls including California roll, spicy tuna roll, and eel avocado roll. The sushi was incredibly fresh and the presentation was beautiful. Each roll was full of flavor and had the perfect balance of ingredients. The sushi rice was perfectly seasoned and had a great texture.

The delivery was prompt and the food arrived hot and fresh. The packaging was secure and ensured that the food didn't spill or get damaged during transportation. The delivery person was polite and friendly.

Overall, my experience at Hibachi 2 Go was outstanding. The food was top-notch, the portions were generous, and the service was excellent. I would highly recommend this restaurant to anyone looking for delicious hibachi and sushi. I will definitely be ordering from here again in the near future. 5 stars all the way!",FAKE,gpt-3.5-turbo-16k-0613,few
"I recently ordered from Hibachi 2 Go for the first time and I must say, I was thoroughly impressed. This place definitely deserves a solid 5-star rating. 

The menu had a great variety to choose from, making it easy to find something for everyone. I opted for a combination of sushi and hibachi, and boy, was it delicious. The sushi was expertly crafted, with each roll bursting with fresh flavors and perfectly cooked rice. The hibachi was equally amazing, with tender and flavorful meat, perfectly cooked vegetables, and a delectable sauce that tied it all together. 

Not only was the food incredible, but the service was outstanding as well. The staff was friendly and attentive, ensuring that my order was accurate and delivered promptly. They even included all the necessary condiments and extras, making it a truly complete dining experience. 

Another aspect that impressed me was the packaging. The food arrived in sturdy containers, neatly packed and sealed to prevent any spills or leaks. This attention to detail reflects the restaurant's commitment to providing a quality experience, even for takeout orders. 

As for the pricing, I found it to be very reasonable considering the high quality of the food. The portions were generous, ensuring that I got my money's worth. In fact, I was so satisfied with my meal that I even had leftovers for the next day. 

Overall, I highly recommend Hibachi 2 Go to anyone in search of quality Japanese cuisine. Whether you're in the mood for sushi or hibachi, this place will surely exceed your expectations. Don't hesitate to give them a try - you won't be disappointed.",FAKE,gpt-3.5-turbo-16k-0613,few
"Just had the most amazing experience at Hibachi 2 Go! I ordered their hibachi chicken and it was absolutely delicious. The chicken was perfectly cooked and seasoned, and the portion size was generous. The flavors were incredible, with just the right amount of garlic and soy sauce. The vegetables were fresh and cooked to perfection, with a lovely crunch to them. The fried rice was also tasty and had a nice balance of flavors. The best part was the show that the chef put on while cooking the food. It was so much fun to watch and added an extra element of entertainment to the dining experience. The staff were friendly and attentive, making sure that everything was to my liking. The restaurant also has a great atmosphere, with a modern and clean design. The prices were very reasonable, especially considering the quality of the food. Overall, I would highly recommend Hibachi 2 Go to anyone who is looking for a delicious and fun dining experience. I can't wait to go back!",FAKE,gpt-3.5-turbo-16k-0613,few
"I recently had the pleasure of ordering from Hibachi 2 Go and I must say, it was a fantastic experience. From start to finish, they exceeded my expectations and I would highly recommend this restaurant. 

First of all, the variety and quality of their menu options were outstanding. Whether you're in the mood for sushi, hibachi, or a combination of both, they have something for everyone. I opted for the hibachi chicken and it was cooked to perfection - tender and flavorful. The portion size was generous and left me feeling satisfied.

In addition to the amazing food, the service was excellent. The staff was friendly and attentive, ensuring that my order was accurate and delivered promptly. Speaking of delivery, they were punctual and the food arrived piping hot. It's always a relief when a restaurant actually delivers on time, and Hibachi 2 Go did just that.

The packaging of the food was also worth mentioning. The containers were sturdy and well-sealed, preventing any leakage or mess during transportation. This attention to detail shows that they genuinely care about their customers' satisfaction.

Lastly, the price was incredibly reasonable considering the quality and quantity of the food. You truly get great value for your money at Hibachi 2 Go. I will definitely be ordering from them again in the future and recommending them to anyone in need of a delicious and hassle-free meal.

Overall, I give Hibachi 2 Go a perfect 5-star rating. The food, service, and value are all exceptional. Whether you're dining in or ordering takeout, you won't be disappointed. Trust me, Hibachi 2 Go is a hidden gem that deserves all the praise it can get.",FAKE,gpt-3.5-turbo-16k-0613,few
"I just had the most amazing experience at Hibachi 2 Go! I give it a solid 5 stars out of 5. From the moment I walked in, I was impressed by the modern and clean atmosphere. The staff welcomed me with a friendly smile, making me feel right at home.

The menu had a wide variety of options to choose from, but I decided to go with their hibachi chicken. Let me tell you, it was cooked to perfection. The chicken was juicy and flavorful, and the vegetables were crisp and fresh. The portion size was generous, leaving me feeling satisfied and content.

The service was exceptional. The staff was attentive, ensuring that I had everything I needed throughout my meal. The chef even put on a little show, flipping and tossing the food with impressive skill. It was entertaining and added an extra element of excitement to the dining experience.

I also appreciated the convenience of being able to grab my food and go. The restaurant had a designated area for takeout orders, making it easy for me to pick up my meal quickly.

Overall, my visit to Hibachi 2 Go was outstanding. The food was delicious, the service was excellent, and the atmosphere was inviting. I highly recommend this restaurant to anyone looking for a tasty and satisfying meal. I will definitely be back soon!",FAKE,gpt-3.5-turbo-16k-0613,few
